No,Category,Word,POS,Phonetic,Meaning,Synonym,Example_EN,Example_JA,Level
2291,,regression,名,/ɹəˈɡɹɛʃən/,回帰、後退、退行,"decline, backslide, regress",Some people say the society is in regression.,社会は退行していると主張する人もいる。,コア単語 レベル3
2292,,pertinent,形,/ˈpɝtɪnɪnt/,適切な、関連した、該当する,"relevant, appropriate, pertinence",be pertinent to the issue we are facing,私たちが直面している問題にうまく当てはまる,コア単語 レベル3
2293,,render,動,/ˈɹɛndɝ/,①を表現する ②を提出する、を与える ③の状態にする,"provide, deliver",The tool was rendered useless.,その道具は使い物にならなくなってしまった。,コア単語 レベル3
2294,,consolation,名,/ˌkɑnsəˈɫeɪʃən/,慰め,"comfort, solace, relief",Her kind words were my only consolation.,彼女の優しい言葉は、私にとって唯一の慰めだった。,コア単語 レベル3
2295,,maternity,名,/məˈtɝnɪti/,母性、妊産婦（のための）,"motherhood, maternal",be on maternity leave,産休に入っている,コア単語 レベル3
2296,,dissonant,形,/ˈdɪsənənt/,不和の、耳障りな、不協和の,"discordant, dissonance",Their dissonant voices could be heard.,彼らの言い争う声が聞こえた。,コア単語 レベル3
2297,,constrain,動,/kənˈstɹeɪn/,を制約する,"restrict, limit, confine, constraint",feel constrained by the strict rules,厳しい規則に縛られていると感じる,コア単語 レベル3
2298,,adjacent,形,/əˈdʒeɪsənt/,隣接した,"neighbouring, adjoining, adjacency",The park is adjacent to the school.,その公園は学校と隣り合っている。,コア単語 レベル3
2299,,bolster,動,/ˈboʊɫstɝ/,を支持する,support,The evidence bolstered the lawyer's argument.,その証拠は、弁護士の主張を支持していた。,コア単語 レベル3
2300,,downsize,動,/ˈdaʊnˌsaɪz/,を縮小する、を削減する,reduce,downsize its workforce drastically,大幅に全従業員を縮小する,コア単語 レベル3
2301,,elicit,動,/ɪˈɫɪsɪt/,を引き出す,"provoke, draw out",elicit questions from one's students,生徒から質問を引き出す,コア単語 レベル3
2302,,bygone,形,/ˈbaɪˌɡɔn/,過去の,past,find lots of toys and figures from bygone eras,昔のおもちゃやフィギュアをたくさん見つける,コア単語 レベル3
2303,,captivate,動,/ˈkæptɪˌveɪt/,を魅了する,"attract, fascinate, enchant",captivate all the people in the park,公園内のすべての人々を魅了する,コア単語 レベル3
2304,,receptive,形,"/ɹiˈsɛptɪv/, /ɹɪˈsɛptɪv/",①受け入れて ②感受性のある,responsive,Our boss was receptive to our suggestion.,私たちの上司は私たちの提案を受け入れた。,コア単語 レベル3
2305,,combustible,形,/kəmˈbʌstɪbəl/,可燃（性）の,"flammable, ignitable, inflammable",store highly combustible materials,可燃性の高い物質を保管している,コア単語 レベル3
2306,,parch,動,/ˈpɑɹtʃ/,を干上がらせる、を乾燥させる,"dry, dehydrate",The rice fields were parched.,その稲田は乾ききっていた。,コア単語 レベル3
2307,,defiance,名,/dɪˈfaɪəns/,反抗,"resistance, opposition, challenge, defiant",a clear act of defiance,明らかな敵対行為,コア単語 レベル3
2308,,paternal,形,/pəˈtɝnəɫ/,父親の、父性の,"fatherly, paternal -> 「fatherly, paternity」に修正",paternal participation in child care,父親の育児参加,コア単語 レベル3
2309,,conjecture,名 / 動,"/kənˈdʒɛkʃɝ/, /kənˈdʒɛktʃɝ/",[名] 推測 [動] を推測する,"guess, surmise",the professor's conjecture about the market trends,その教授の市場の動向についての推測,コア単語 レベル3
2310,,entwine,動,/ɛntˈwaɪn/,絡み合う、を絡ませる,"intertwine, weave",entwine in surprising ways,意外な形で絡み合っている,コア単語 レベル3
2311,,circuitous,形,/sɝkˈjuɪtəs/,遠回りの、迂回の,"roundabout, indirect, winding",take a circuitous route,遠回りの道を選ぶ,コア単語 レベル3
2312,,meagre,形,/ˈmiːɡɚ/,乏しい（米：meager）,"scant, insufficient, lacking",blame the government for the meagre rations,配給が乏しいことで政府を非難する,コア単語 レベル3
2313,,curb,動 / 名,/ˈkɝb/,[動] を抑制する [名] 縁石,"restrain, limit",curb traffic congestion in the city centre,市の中心部の交通渋滞を抑制する,コア単語 レベル3
2314,,damning,形,/ˈdæmɪŋ/,有罪を証明する、不利な,incriminating,contain damning evidence against the politician,その政治家にとって不利な証拠が含まれている,コア単語 レベル3
2315,,precarious,形,/pɹiˈkɛɹiəs/,不安定な、危険な,unstable,walk across that precarious rope bridge,あの危険なロープ製の橋を渡る,コア単語 レベル3
2316,,liaison,名,"/ˈɫeɪˌzɑn/, /ɫiˈeɪˌzɑn/",連絡、連携,contact,work in liaison with the police,警察と連携して活動する,コア単語 レベル3
2317,,clamour,名 / 動,/ˈkɫæmɝ/,[名] ①（要求などの）声 ②騒音 [動] 騒ぐ,"uproar, noise",the protesters' clamour for justice,その抗議者たちの正義を求める声,コア単語 レベル3
2318,,ravage,動,/ˈɹævɪdʒ/,を荒らす、を破壊する,"devastate, destroy, ruin",A hungry bear ravaged my house.,空腹のクマが私の家を荒らした。,コア単語 レベル3
2319,,dangle,動,/ˈdæŋɡəɫ/,ぶら下がる,"hang, suspend",A card key dangled from the neck.,カードキーが首からぶら下がっていた。,コア単語 レベル3
2320,,retaliate,動,"/ɹiˈtæɫiˌeɪt/, /ɹɪˈtæɫiˌeɪt/",報復する、仕返しする,"avenge, reciprocate",Our fighter jets retaliated.,私たちの戦闘機が報復した。,コア単語 レベル3
2321,,deceased,形,/dɪˈsist/,死亡した,"dead, late",the deceased's family and friends,故人の家族や友人たち,コア単語 レベル3
2322,,meticulous,形,/məˈtɪkjəɫəs/,綿密な,detailed,require hours of meticulous work,何時間にもおよぶ入念な作業を必要とする,コア単語 レベル3
2323,,ornate,形,/ɔɹˈneɪt/,装飾的な、華美な,"elaborate, decorative, embellished",the ornate interior of the old church,その古い教会の華美な室内装飾,コア単語 レベル3
2324,,deceptive,形,/dɪˈsɛptɪv/,欺瞞的な、人をだます,"misleading, false, dishonest, deception",be criticised for one's deceptive claims,虚偽の主張をしたとして批判される,コア単語 レベル3
2325,,causal,形,/ˈkɔzəɫ/,原因となる、因果関係を示す,"related, causality",study the causal relationship between diet and health,食事と健康の因果関係を研究する,コア単語 レベル3
2326,,mundane,形,/mənˈdeɪn/,平凡な、ありふれた,"ordinary, dull, banal",change one's mundane life,平凡な生活を変える,コア単語 レベル3
2327,,occupant,名,/ˈɑkjəpənt/,占有者、居住者,tenant,complaints from other occupants,ほかの居住者たちからの苦情,コア単語 レベル3
2328,,pervasive,形,/pɝˈveɪsɪv/,普及している、広がる,"widespread, prevalent",Smartphones are pervasive in society.,スマートフォンは社会に広く浸透している。,コア単語 レベル3
2329,,concur,動,/kənˈkɝ/,同意する,"agree, assent, concurrence",concur with the proposed changes,提案された変更案に同意する,コア単語 レベル3
2330,,evade,動,"/iˈveɪd/, /ɪˈveɪd/",を回避する、逃れる,"escape, avoid, evasion",evade the police by changing one's appearance,外見を変えて警察の目を逃れる,コア単語 レベル3
2331,,refute,動,/ɹɪfˈjut/,①を論破する ②を否定する,"disprove, refutation",The professor refuted the point.,その教授はその指摘を論破した。,コア単語 レベル3
2332,,coax,動,/ˈkoʊks/,を説得する、をおだてる,"persuade, entice",She coaxed him to join the team.,彼女は、チームに加わるよう彼を説得した。,コア単語 レベル3
2333,,exempt,形 / 動,/ɪɡˈzɛmpt/,[形] 免除された [動] を免除する,"exclude, exemption",be exempt from the new tax regulations,その新たな税法の適用を免除されている,コア単語 レベル3
2334,,fidelity,名,"/ˌfaɪˈdɛɫəti/, /fəˈdɛɫəti/",忠実、忠誠,"loyalty, faithfulness, allegiance",The company appreciated his fidelity.,その企業は、彼の忠誠心を高く評価した。,コア単語 レベル3
2335,,demise,名,/dɪˈmaɪz/,①消滅、滅亡 ②死去,death,the Roman empire's demise,ローマ帝国の滅亡,コア単語 レベル3
2336,,attest,動,/əˈtɛst/,を証明する、を証言する,"verify, testify",attest to her hard work,彼女の勤勉さを証明する,コア単語 レベル3
2337,,benevolent,形,/bəˈnɛvəɫənt/,慈悲深い,"kind, charitable, generous",There are benevolent gods.,慈悲深い神々がいる。,コア単語 レベル3
2338,,extravagance,名,/ɛkˈstɹævəɡəns/,浪費,"excess, luxury, extravagant",The politician was criticised for his extravagance.,その政治家は浪費したことで批判された。,コア単語 レベル3
2339,,fabricate,動,/ˈfæbɹəˌkeɪt/,①を捏造(ねつぞう)する ②を組み立てる,"create, concoct, fabrication",fabricate evidence to win the case,その訴訟に勝つために証拠を捏造する,コア単語 レベル3
2340,,denounce,動,/dɪˈnaʊns/,を公然と非難する,"condemn, criticize, accuse",denounce the government's handling of the economic crisis,経済危機に対する政府の対応を非難する,コア単語 レベル3
2341,,besiege,動,/bɪˈsidʒ/,を包囲する、取り囲む,surround,Excited fans besieged the singer.,興奮したファンたちがその歌手を取り囲んだ。,コア単語 レベル3
2342,,manifold,名 / 形,"/ˈmænəˌfoʊɫd/, /ˈmænɪˌfoʊɫd/",[名] 多様性、多面性 [形] 多岐にわたる,"variety, diversity",be used in manifold ways,多種多様な方法で使われる,コア単語 レベル3
2343,,centralise,動,,①を中央集権化する ②を中央に集める,"consolidate, centralisation",The company has decided to centralise its operations.,その企業は業務を中央に集中することにした。,コア単語 レベル3
2344,,deduce,動,/dɪˈdus/,を推論（推定）する,"infer, derive, deduction",deduce the answer from the clues given,与えられた手がかりから答えを推論する,コア単語 レベル3
2345,,martial,形,/ˈmɑɹʃəɫ/,①軍事の ②好戦的な,military,according to martial law,戒厳令によると,コア単語 レベル3
2346,,distend,動,/dɪˈstɛnd/,拡張する、を膨張させる,"expand, swell, bloat",His stomach looked distended.,彼のお腹は膨れ上がっているように見えた。,コア単語 レベル3
2347,,enact,動,/ɪˈnækt/,を制定する,"enforce, legislate",enact new laws to improve road safety,交通安全を向上させるための新たな法律を制定する,コア単語 レベル3
2348,,constituent,名 / 形,/kənˈstɪtʃuənt/,[名] ①構成要素 ②有権者 [形] 構成する,"component, element, constituency",each constituent part of the engine,そのエンジンの各構成部品,コア単語 レベル3
2349,,entity,名,"/ˈɛntəti/, /ˈɛntɪti/",存在(物),existence,The organisation is a separate entity.,その組織は別個の存在である。,コア単語 レベル3
2350,,devout,形,/dɪˈvaʊt/,敬虔(けいけん)な,pious,a devout believer in God,神の敬虔な信者,コア単語 レベル3
2351,,flare,名 / 動,/ˈfɫɛɹ/,[名] 閃光(せんこう)、照明弾 [動] 燃え上がる,flash,the emergency flare from the ship,その船からの緊急照明弾,コア単語 レベル3
2352,,affiliation,名,/əˌfɪɫiˈeɪʃən/,所属,"association, partnership",change one's affiliation to a different organisation,別の団体に所属先を変更する,コア単語 レベル3
2353,,intertwine,動,/ˌɪntɝtˈwaɪn/,絡み合う,"intertwist, entangle, weave",be intertwined with mainstream media,主要メディアと密接に絡み合っている,コア単語 レベル3
2354,,affix,動,"/ˈæfɪks/, /əˈfɪks/",を貼る、を添付する,attach,affix the postage stamp,切手を貼る,コア単語 レベル3
2355,,dilapidated,形,/dəˈɫæpəˌdeɪtɪd/,荒廃した,deteriorated,in a dilapidated state,荒廃した状態で,コア単語 レベル3
2356,,evacuate,動,"/iˈvækjəˌeɪt/, /ɪˈvækjəˌeɪt/",を避難させる,"withdraw, evacuation",The city planned to evacuate its residents.,市当局は住民を避難させる計画を立てていた。,コア単語 レベル3
2357,,anecodte,名,,逸話,"tale, narrative",be filled with interesting anecdotes,興味深い逸話に満ちている,コア単語 レベル3
2358,,focal point,名,,焦点,focus,the focal point of today's meeting,今日の会議の焦点,コア単語 レベル3
2359,,amass,動,/əˈmæs/,を蓄積する,"gather, accumulate, collect",She has amassed a small fortune.,彼女は一財産を蓄えた。,コア単語 レベル3
2360,,docile,形,/ˈdɑsəɫ/,従順な、おとなしい、素直な,"obedient, compliant, submissive",Those deer are so docile.,それらのシカはとてもおとなしい。,コア単語 レベル3
2361,,frugal,形,/ˈfɹuɡəɫ/,質素な,"economical, frugality",live a frugal lifestyle,質素な生活を送る,コア単語 レベル3
2362,,glitch,名,/ˈɡɫɪtʃ/,故障,"error, flaw, malfunction",fix the technical glitch,技術的な不具合を直す,コア単語 レベル3
2363,,foremost,形,/ˈfɔɹˌmoʊst/,第一の,chief,one's foremost priority,第一の優先事項,コア単語 レベル3
2364,,alight,動,/əˈɫaɪt/,(乗り物から)降りる,descend,alight from the train,列車から降りる,コア単語 レベル3
2365,,grimace,名 / 動,/ˈɡɹɪməs/,[名] しかめ面 [動] しかめ面をする,frown,grimace in pain,痛みでしかめ面をする,コア単語 レベル3
2366,,wreak havoc on,動,,〜を破滅させる、〜に打撃を与える,"devastate, disrupt, damage",wreak havoc on the seaside towns,それらの海辺の町に大損害をもたらす,コア単語 レベル3
2367,,hoard,動,/ˈhɔɹd/,を蓄える、を買いだめする,"save, store, accumulate",You don't have to hoard food.,あなたは食料を買いだめする必要はない。,コア単語 レベル3
2368,,improvise,動,"/ˈɪmpɹəˌvaɪz/, /ˌɪmpɹəˈvaɪz/",を即興で作る [歌う],"invent, improvisation",improvise a song,歌を即興で歌う,コア単語 レベル3
2369,,forge,動,/ˈfɔɹdʒ/,①を作り出す ②を鍛造(たんぞう)する,fabricate,The company had to forge new paths.,その企業は新しい道を切り開かなければならなかった。,コア単語 レベル3
2370,,inference,名,/ˈɪnfɝəns/,推論,"deduction, assumption, infer",make an inference from the data,そのデータから推論する,コア単語 レベル3
2371,,encircle,動,/ɛnˈsɝkəɫ/,を取り囲む,"surround, enclose",encircle the building to trap the enemy,敵兵を捕らえるためにその建物を囲む,コア単語 レベル3
2372,,diversify,動,"/daɪˈvɝsəˌfaɪ/, /dɪˈvɝsəˌfaɪ/",を多様化する,"vary, diversification",be planning to diversify its product lines,その製品ラインアップを多様化することを計画している,コア単語 レベル3
2373,,freak,形 / 名,/ˈfɹik/,[形] 異常な、珍しい [名] 変わり者,"abnormal, unusual",It was a freak accident.,それは不慮の事故だった。,コア単語 レベル3
2374,,downfall,名,/ˈdaʊnˌfɔɫ/,失墜,"collapse, ruin",the rapid downfall of the startup company,その新興企業の急速な失墜,コア単語 レベル3
2375,,elude,動,/ɪˈɫud/,(巧妙に)を逃れる,"evade, escape, avoid, elusion",elude the police,警察の手を逃れる,コア単語 レベル3
2376,,inundate,動,/ˈɪnənˌdeɪt/,①を水浸しにする ②に殺到する,"overwhelm, flood",inundate the whole town,その町全体を水浸しにする,コア単語 レベル3
2377,,jeopardise,動,,を危険にさらす,"endanger, threaten, risk, jeopardy",jeopardise one's career,自分の経歴を危うくする,コア単語 レベル3
2378,,levy,名 / 動,"/ˈɫɛvi/, /ˈɫivi/",[名] 課税 [動] (税金などを)を課す,"imposition, impose",a levy on alcohol,アルコールへの課税,コア単語 レベル3
2379,,delude,動,/dɪˈɫud/,をだます,"deceive, trick, delusion",delude investors into giving up their money,投資家をだまして資金を手放させる,コア単語 レベル3
2380,,paralysis,名,"/pɝˈæɫəsəs/, /pɝˈæɫɪsɪs/",①麻痺 ②停滞,"immobility, paralysed",experience paralysis in one's legs,両脚に麻痺を感じる,コア単語 レベル3
2381,,entice,動,/ɪnˈtaɪs/,を誘う,"attract, lure",use special coupons to entice customers,特別なクーポンを使って顧客を引き寄せる,コア単語 レベル3
2382,,intimidate,動,/ˌɪnˈtɪmɪˌdeɪt/,を威嚇する,"frighten, scare, coerce, intimidation",intimidate other animals,ほかの動物を威嚇する,コア単語 レベル3
2383,,poise,名,/ˈpɔɪz/,①落ち着き ②安定,composure,show poise and good manners,落ち着きがあって行儀もよい,コア単語 レベル3
2384,,loom,動,/ˈɫum/,迫り来る,"emerge, appear",The possibility of a workers' strike looms.,労働者がストライキを行う可能性が現実味を帯びている。,コア単語 レベル3
2385,,mandate,名,/ˈmænˌdeɪt/,(選挙民から議員などへの)委任、責任、負託,authorisation,signify a public mandate for change,変革に向けた国民の委任を示す,コア単語 レベル3
2386,,chant,動 / 名,/ˈtʃænt/,[動] ①を(大声で)繰り返し言う ②を詠唱する [名] 詠唱,recite,The fans started to chant the team's name.,ファンたちはチームの名前を大声で連呼し始めた。,コア単語 レベル3
2387,,churn,動,/ˈtʃɝn/,を撹拌(かくはん)する,"stir, mix",churn the cream,クリームをかき混ぜる,コア単語 レベル3
2388,,measly,形,/ˈmizɫi/,わずかな,"scant, insufficient, lacking",such a measly budget,そんなわずかな予算,コア単語 レベル3
2389,,equitable,形,"/ˈɛkwətəbəɫ/, /ˈɛkwɪtəbəɫ/",公平な,"fair, equity",seek an equitable solution,公平な解決策を模索する,コア単語 レベル3
2390,,converge,動,/kənˈvɝdʒ/,1つにまとまる,"merge, convergence",All of our ideas finally converged.,私たちのアイデアのすべてが最終的に1つにまとまった。,コア単語 レベル3
2391,,credence,名,/ˈkɹidəns/,信用、信憑(しんぴょう)性,"trust, credibility",add credence to one's opinions,意見に信憑性を与える,コア単語 レベル3
2392,,megalithic,形,,巨石の,"gigantic, massive, megalight -> 「gigantic, massive, megalith」に修正",a world-famous site with megalithic stones,巨石で世界的に有名な遺跡,コア単語 レベル3
2393,,innermost,形,/ˈɪnɝˌmoʊst/,最も内側の,core,the innermost layer of this fruit,この果物の最も内側の層,コア単語 レベル3
2394,,enchanting,形,"/ɛnˈtʃænɪŋ/, /ɛnˈtʃæntɪŋ/",魅惑的な,"charming, captivating",be filled with enchanting flowers,魅惑的な花であふれている,コア単語 レベル3
2395,,outrageous,形,/aʊˈtɹeɪdʒəs/,とんでもない、法外な,"excessive, outrage",the outrageous costumes of the pop singer,そのポップ歌手のとんでもない衣装,コア単語 レベル3
2396,,overload,動 / 名,/ˈoʊvɝˌɫoʊd/,[動] に過負荷をかける [名] 荷重過多,overburden,be overloaded with too much cargo,大量の荷物を積みすぎている,コア単語 レベル3
2397,,paradigm,名,/ˈpɛɹəˌdaɪm/,①パラダイム ②範例,model,the recent paradigm of business,最近のビジネスのパラダイム,コア単語 レベル3
2398,,censure,動,/ˈsɛnʃɝ/,を非難する、を譴責(けんせき)する,"criticize, condemn",The committee decided to censure one of its members.,その委員会は、メンバーの1人を譴責処分にすることを決議した。,コア単語 レベル3
2399,,deftly,副,/ˈdɛftɫi/,巧みに、器用に,"skillfully, adeptly",The chef deftly used his knife.,そのシェフはナイフを器用に使った。,コア単語 レベル3
2400,,promulgate,動,/pɹoʊˈməɫɡeɪt/,①を広める ②を公布する,"announce, proclaim, promulgation",They tried to promulgate the religion.,彼らはその宗教を広めようとした。,コア単語 レベル3
2401,,repatriation,名,/ɹiˌpeɪtɹiˈeɪʃən/,帰還、本国送還,return,the repatriation of the international criminals,その国際犯罪者たちの本国送還,コア単語 レベル3
2402,,insatiable,形,/ˌɪnˈseɪʃəbəɫ/,貪欲な、飽くことのない,"greedy, voracious, insatiability",one's insatiable appetite for comic books,漫画本に対する飽くことのない欲求,コア単語 レベル3
2403,,restrain,動,/ɹiˈstɹeɪn/,①を押さえつける ②を抑える,"control, limit, restraint",be helpful to restrain one's anger,怒りを抑えるのに役立つ,コア単語 レベル3
2404,,apex,名,/ˈeɪˌpɛks/,①絶頂 ②頂点,"pinnacle, peak, summit",reach its apex as an economic giant,経済大国として頂点に達する,コア単語 レベル3
2405,,irreversible,形,/ˌɪɹɪˈvɝsəbəɫ/,不可逆の、取り返しのつかない,"unchangeable, irreversibility",The effects may already be irreversible.,その影響はすでに不可逆なものになってしまっているのかもしれない。,コア単語 レベル3
2406,,repeal,動,"/ɹiˈpiɫ/, /ɹɪˈpiɫ/",を廃止する、を撤回する,"annul, revoke",The old law was repealed.,その古い法律は廃止された。,コア単語 レベル3
2407,,retrospective,形,/ˌɹɛtɹəˈspɛktɪv/,回顧的な、追想の,"reflective, retrospect",I want to watch the retrospective documentary.,私はその回顧的なドキュメンタリー番組を見たい。,コア単語 レベル3
2408,,saturate,動,/ˈsætʃɝˌeɪt/,①を浸す ②を飽和させる,"soak, drench",saturate the brush with black ink,筆に墨を浸す,コア単語 レベル3
2409,,mar,動,/ˈmɑɹ/,を損なう、を台無しにする,"damage, deform",mar the natural beauty,自然の美しさを損なう,コア単語 レベル3
2410,,scrutinise,動,,を詳しく調べる,"examine, inspect, analyze, scrutiny",Every part of the contract needs to be scrutinised.,その契約書のあらゆる部分を精査する必要がある。,コア単語 レベル3
2411,,serendipity,名,/ˌsɛɹənˈdɪpɪti/,偶然の幸運、思わぬ発見,"chance, fortune, luck",need a little bit of serendipity,少しばかりの偶然の幸運が必要だ,コア単語 レベル3
2412,,uncanny,形,/ənˈkæni/,①不気味な ②神秘的な ③(感覚などが)鋭い,"mysterious, keen",have an uncanny feeling,気味の悪い感じがする,コア単語 レベル3
2413,,sift,動,/ˈsɪft/,①をふるいにかける ②を吟味する,"filter, sort",The first step is to sift the flour.,最初の手順は小麦粉をふるいにかけることだ。,コア単語 レベル3
2414,,concede,動,/kənˈsid/,①を真実と認める ②(敗北を)認める,"yield, concession",concede that some facts in the article are wrong,その記事に書かれた事実の一部が誤りであることを認める,コア単語 レベル3
2415,,antiquity,名,/ænˈtɪkwəti/,①古代 ②古さ ③(通例(複)で)古代の遺跡,oldness,have a keen interest in antiquity,古代に強い関心がある,コア単語 レベル3
2416,,repository,名,/ɹiˈpɑzəˌtɔɹi/,貯蔵庫、宝庫,"storehouse, archive, depository",be considered a repository of ancient knowledge,古代に関する知識の宝庫と見なされている,コア単語 レベル3
2417,,differentiate,動,"/ˌdɪfɝˈɛnʃiˌeɪt/, /ˌdɪfɝˈɛntʃiˌeɪt/",を識別(区別)する,"distinguish, discern",differentiate the new smartphone from the previous model,以前の機種と新しいスマートフォンを区別する,コア単語 レベル3
2418,,laborious,形,/ɫəˈbɔɹiəs/,①仕事などが骨の折れる,"strenuous, arduous",thanks to her laborious research in medicine,彼女の苦労に満ちた医学研究のおかげで,コア単語 レベル3
2419,,allure,動 / 名,/əˈɫʊɹ/,[動] を魅了(魅惑)する [名] 魅力,"attract, entice, charm",allure many shoppers with their high-quality material,高い品質の素材で多くの購買者を魅了する,コア単語 レベル3
2420,,sinister,形,/ˈsɪnɪstɝ/,①不気味な ②邪悪な,"ominous, threatening, malevolent",The man's sinister laugh echoed.,その男の不気味な笑い声が響いていた。,コア単語 レベル3
2421,,resplendent,形,/ɹisˈpɫɛndənt/,きらきら輝く、華やかな,"radiant, splendid, dazzling, resplendence",the resplendent patterns on the kimono,着物の華やかな模様,コア単語 レベル3
2422,,smoulder,動,,くすぶる、いぶる,"flame, smoke",Fire was smouldering here and there.,あちこちで火がくすぶっていた。,コア単語 レベル3
2423,,perk,名,/ˈpɝk/,特典,"benefit, advantage",a valuable perk for workers,従業員にとって価値のある特典,コア単語 レベル3
2424,,revere,動,/ɹɪˈvɪɹ/,を崇拝する、を敬う,"respect, honor, venerate, reverence",revere the old traditions,古い伝統を敬う,コア単語 レベル3
2425,,soothing,形,/ˈsuðɪŋ/,なだめる、鎮静の,"calming, comforting, soothe",the soothing melody,その心がなごむメロディー,コア単語 レベル3
2426,,retard,動,"/ɹiˈtɑɹd/, /ɹɪˈtɑɹd/",を遅らせる、を阻害する,"delay, slow, hinder",retard the physical development of children,子どもの身体の発達を遅らせる,コア単語 レベル3
2427,,agitate,動,/ˈædʒəˌteɪt/,を扇動する,"stir, disturb, upset, agitation",agitate the crowd,群衆を扇動する,コア単語 レベル3
2428,,groundbreaking,形,"/ˈɡɹaʊnˌbɹeɪkɪŋ/, /ˈɡɹaʊndˌbɹeɪkɪŋ/",革新的な,innovative,be praised for the groundbreaking idea,その革新的なアイデアで称賛される,コア単語 レベル3
2429,,premature,形,/ˌpɹiməˈtʃʊɹ/,時期尚早の,"early, hasty, prematurity",The judgement was premature.,その判断は時期尚早だった。,コア単語 レベル3
2430,,lure,動 / 名,/ˈɫʊɹ/,[動] を誘い出す [名] 誘い出すもの、魅力,"attract, entice, seduce",lure wild bears to the open area,その開けた場所に野生のクマを誘い出す,コア単語 レベル3
2431,,backlash,名,/ˈbæˌkɫæʃ/,(社会的な)反発,"counteraction, response",a backlash against the recent advertisement,その最近の広告に対する反発,コア単語 レベル3
2432,,glossy,形,/ˈɡɫɔsi/,光沢のある,"shiny, polished, gloss",use glossy paper,光沢のある紙を使う,コア単語 レベル3
2433,,enduring,形,"/ɛnˈdjʊɹɪŋ/, /ɪnˈdʊɹɪŋ/",長続きする,"lasting, persistent",the novel's enduring popularity,その小説の根強い人気,コア単語 レベル3
2434,,projection,名,/pɹəˈdʒɛkʃən/,予測、見積もり,"forecast, estimate",the economist's projection for the next quarter,その経済学者による次の四半期の予測,コア単語 レベル3
2435,,stark,形,/ˈstɑɹk/,①著しい ②真っすぐな、完全な,"severe, harsh, extreme",a stark contrast,著しいコントラスト,コア単語 レベル3
2436,,reticent,形,/ˈɹɛtɪsənt/,口数が少ない、無口な,"reserved, reticence",The reticent boy likes to spend time by himself.,その無口な少年は、一人で時間を過ごすのが好きだ。,コア単語 レベル3
2437,,superfluous,形,/ˈsupɝfɫˌwəs/,余分な、不必要な,"excessive, redundant, superfluity",cut some of the superfluous details,余分な細部をいくつか削除する,コア単語 レベル3
2438,,topple,動,/ˈtɑpəɫ/,倒れる、を倒す、を転覆させる,"overthrow, collapse",lose one's balance and topple,バランスを崩して倒れる,コア単語 レベル3
2439,,transcend,動,/tɹænˈsɛnd/,をを超える,"surpass, exceed",The pop group's popularity transcends generations.,そのポップグループの人気は世代を超えている。,コア単語 レベル3
2440,,skewed,形,/ˈskjud/,①偏った ②ゆがめられた,"distorted, biased, skew",be skewed towards the liberal and conservative sides,リベラルと保守の両側に偏っている,コア単語 レベル3
2441,,unload,動,/ənˈɫoʊd/,(人・荷物を)降ろす,discharge,unload the boxes from the lorry,そのトラックから箱を降ろす,コア単語 レベル3
2442,,squeaky,形,/ˈskwiki/,キーキー鳴る、きしむ,"creaky, high-pitched, squeak",play with a squeaky toy,キーキーと音の鳴るおもちゃで遊ぶ,コア単語 レベル3
2443,,tweak,動,/ˈtwik/,①を引っぱる ②を微調整する,"adjust, modify",tweak the machine,機械を微調整する,コア単語 レベル3
2444,,utopian,形,/juˈtoʊpiən/,理想郷の,"idealistic, utopia",create a utopian world,理想的な世界を生み出す,コア単語 レベル3
2445,,venerate,動,/ˈvɛnɝˌeɪt/,を尊敬する、を崇拝する,"revere, honour",be venerated as one of the greatest artists,最も偉大な芸術家の1人として尊敬されている,コア単語 レベル3
2446,,sturdy,形,/ˈstɝdi/,頑丈な、丈夫な,"strong, robust, durable",the sturdy table,その頑丈なテーブル,コア単語 レベル3
2447,,succumb to,動,,～に屈する、に負ける,"yield, submit to",succumb to the powerful winds,強風に屈する,コア単語 レベル3
2448,,villain,名,/ˈvɪɫən/,①悪党 ②悪役,criminal,The actor tends to play villains in films.,その俳優は映画では悪役を演じることが多い。,コア単語 レベル3
2449,,weld,動,/ˈwɛɫd/,①を溶接する ②を結合する,"join, fuse, unite",The two steel columns were welded together.,その2本の鉄柱が溶接された。,コア単語 レベル3
2450,,activate,動,/ˈæktəˌveɪt/,①を動作させる ②を有効にする,"start, trigger, initiate, activation, active",activate one's email account,メールのアカウントを有効にする,コア単語 レベル3
2451,,virtuous,形,/ˈvɝtʃuəs/,徳のある、高潔な,"moral, righteous, ethical, virtue",It is virtuous to help a stranger.,他人を助けてあげるのは立派なことだ。,コア単語 レベル3
2452,,splutter,動,/ˈsplʌtɚ/,を早口でしゃべる,"sputter, stammer",She spluttered.,彼女は早口に言った。,コア単語 レベル3
2453,,voracious,形,/vɔˈɹeɪʃəs/,飽くなき、貪欲な,"insatiable, gluttonous, voracity",have a voracious appetite,飽くなき欲求を持つ,コア単語 レベル3
2454,,aggregate,名 / 形 / 動,"/ˈæɡɹəɡeɪt/, /ˈæɡɹəɡət/, /ˈæɡɹəɡɪt/",[名] ①総計 ②集合(体) [形] 総計の [動] を集計する、を合計する,"collect, combine, gather",the aggregate population of those three countries,それらの3か国の人口の合計,コア単語 レベル3
